school_name,classification,detail_url,extraction_timestamp,status,teaching_directorate,neighborhood,municipality,phone,email,ideb_score_final_years,idesp_score_final_years,ideb_score_high_school,idesp_score_high_school,total_students,age_06_10_final_years,age_11_14_final_years,age_15_17_final_years,age_18_plus_final_years,age_06_10_high_school,age_11_14_high_school,age_15_17_high_school,age_18_plus_high_school,total_classes,classes_final_years,classes_high_school,total_classrooms,error_message
16 DE JULHO,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=923370,2025-07-30T11:32:09.950681,SUCCESS,SANTO ANDRE,CENTREVILLE,SANTO ANDRE,(11) 44580662,E923370A@EDUCACAO.SP.GOV.BR,4.60,3.65,5.10,2.90,269,5,188,10,,,4,60,2,12,8,4,18,
17 DE SETEMBRO,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=33881,2025-07-30T11:32:09.951713,SUCCESS,MARILIA,FLANDRIA,POMPEIA,(14) 34521393,E033881A@EDUCACAO.SP.GOV.BR,5.50,3.79,,,258,4,249,5,,,,,,9,9,,10,
18 DE JUNHO,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=32220,2025-07-30T11:32:09.951713,SUCCESS,SANTO ANASTACIO,CENTRO,PRESIDENTE EPITACIO,(18) 32812057,E032220A@EDUCACAO.SP.GOV.BR,6.00,,4.20,2.39,688,1,225,15,,,4,414,29,20,7,13,18,
20 DE AGOSTO,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=9283,2025-07-30T11:32:09.951713,SUCCESS,SAO BERNARDO DO CAMPO,JARDIM DO MAR,SAO BERNARDO DO CAMPO,(11) 43304280,E009283A@EDUCACAO.SP.GOV.BR,5.60,3.49,4.90,2.42,592,1,258,34,,,3,281,15,15,8,7,10,
21 DE ABRIL,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=26189,2025-07-30T11:32:09.951713,SUCCESS,LINS,CENTRO,LINS,(14) 35221511,E026189A@EDUCACAO.SP.GOV.BR,,3.26,5.00,2.14,361,1,267,17,,,,73,3,12,9,3,15,
31 DE MARCO,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=18533,2025-07-30T11:32:09.951713,SUCCESS,CAMPINAS LESTE,JARDIM SANTA MONICA,CAMPINAS,(19) 32460077,E018533A@EDUCACAO.SP.GOV.BR,3.50,2.48,,2.18,616,1,182,18,,,2,160,9,25,8,6,16,
9 DE JULHO,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=24880,2025-07-30T11:32:09.951713,SUCCESS,TAQUARITINGA,JARDIM CONTENDAS,TAQUARITINGA,(16) 32522530,E024880A@EDUCACAO.SP.GOV.BR,7.40,,6.90,2.24,691,12,387,4,,,22,260,6,21,12,9,23,
9 DE JULHO,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=31264,2025-07-30T11:32:09.951713,SUCCESS,ADAMANTINA,JARDIM VERA CRUZ,DRACENA,(18) 38211813,E031264A@EDUCACAO.SP.GOV.BR,6.40,3.85,5.50,4.09,682,16,403,6,,,1,173,6,21,12,6,21,
ABDALLA MIGUEL,EE,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=22100,2025-07-30T11:32:09.951713,SUCCESS,TAQUARITINGA,CENTRO,TABATINGA,(16) 33851508,E022100A@EDUCACAO.SP.GOV.BR,5.10,3.71,4.30,2.05,653,11,254,12,,,14,351,11,23,10,13,14,
ABDIEL LOPES MONTEIRO PROF,PEI,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=38885,2025-07-30T11:32:09.951713,SUCCESS,APIAI,CAMPINA DE FORA,RIBEIRAO BRANCO,(15) 35511111,E038885A@EDUCACAO.SP.GOV.BR,5.00,2.87,3.90,1.43,243,,130,2,,,6,100,5,7,4,3,8,
